Orbit,Mean Position Error km,Max Position Error km,Min Position Error km,RMSE km,Percentage Error %
Orbit 1,118.61311143483309,256.26004320056916,0.0,142.32616677772413,1.7244947496137346
Orbit 2,191.73029070322295,401.592183656584,0.0,227.94030710514028,0.7268530400895556
Orbit 3,299.6853126888571,627.1608896723196,0.0,356.19416094978203,0.7107587964849095
Orbit 4,122.31355517450409,265.89295059677926,0.0,147.131136569415,1.7782948372991374
Orbit 5,116.92263660881946,245.27722077773254,0.0,139.39887309555428,1.548722930790353
