Orbit,AOS Time,Closest Approach Time,Max Elevation Time,LOS Time,Visibility Duration sec,Max Elevation deg,Minimum Range km
Orbit 1,2026-04-25 09:11:00,2026-04-25 09:11:00,2026-04-25 09:13:00,2026-04-25 09:14:00,180.0,35.17400768779327,521.1204152531492
Orbit 2,2026-04-25 09:20:00,2026-04-25 10:10:00,2026-04-25 10:10:00,2026-04-25 10:10:00,3000.0,22.48000485120548,20054.518839529548
Orbit 3,,,,,0.0,-4.885271356931925,36729.33975749617
Orbit 4,2026-04-25 09:08:00,2026-04-25 09:09:00,2026-04-25 09:14:00,2026-04-25 09:14:00,360.0,38.8861974368035,3147.722000202216
Orbit 5,,,,,0.0,-28.22397078351203,12118.366178797709
